Title,Author,Review,Ratings,Year,Price
"The Silent Wife: A gripping, emotional page-turner with a twist that will take your breath away  ",Kerry Fisher,"19,817",4.3 out of 5 stars,"Nov 13, 2018",8.
"Password Book: Internet Address And Password Organizer, Password Notebook Journal - 5x8 Inch, Password Keeper Logbook With Elegant Cover  ",Pexelio Publishing,240,4.5 out of 5 stars,"Nov 13, 2018",3.
Lined Notebook: Enchanting Collection Visit Shopping Arrakis Office Vintage Cocktail Distressed Guide Surf Monthly Daily Sci Week Fi Picture 110 Pages The Perfect Book  ,Peter Pauper Press,"11,702",4.4 out of 5 stars,"Sep 12, 2021",0.
"Password Book: Shiti Cant Remember Password Book with Alphabetical Tabs.Password Organizer for Usernames, Logins, Web, And Email Addresses.Password ... Personal Login Information Private And Secure  ",Mark J. Plotkin,"16,374",4.2 out of 5 stars,"Sep 12, 2021",5.
Online Shopping Tracker & Password Book for your Shopping Websites: Keep Track of your Online Purchases or Shopping Orders made Through an Online Website - Password Tracker  ,Anita Lee,"4,378",4.3 out of 5 stars,"May 2, 2022",5.
"I'm Dead, Now What?: Important Information About My Belongings, Business Affairs, and Wishes  ",Roberta M Shaw,"6,070",4.3 out of 5 stars,"May 2, 2022",0.
"Online Shopping Tracker: Tracking Organizer Notebook For Online, purchase order book, book organizer, online shopping, Online Order Organizer Notebook.  ",Kerry Fisher,"3,227",4.3 out of 5 stars,"Dec 22, 2021",0.
The Amazon: What Everyone Needs to Know®  ,Pexelio Publishing,26,4.6 out of 5 stars,"Dec 22, 2021",0.
Online Shopping Tracker: Keep Tracking Organizer Notebook for online purchases or shopping orders made through an online website (Vol : 2) (Order log)  ,Peter Pauper Press,"10,452",4.6 out of 5 stars,"Mar 15, 2022",0.
Online shopping tracker journal: Online shopping tracker journal and notebook  ,Mark J. Plotkin,74,4.7 out of 5 stars,"Mar 15, 2022",0.
Internet Password Book Organizer And Online Shopping Tracker: Two-In-One  ,Anita Lee,11,4.4 out of 5 stars,"Feb 1, 2015",4.
"Online Shopping Tracker: Tracking Organizer Notebook For Online, Purchases,Order,Shopping Expense,Personal Log Book Fashion and Clothes Accessories Pattern  ",Roberta M Shaw,29,4.2 out of 5 stars,"Feb 1, 2015",5.
Online Shopping Log Book: Simple Purchase Order Tracking Book | Purchase Order Organizer  ,Kerry Fisher,1,4.0 out of 5 stars,"Dec 23, 2021",10.
A Price Comparison Shopping Tracker Logbook: For Use Online or at Brick-and-Mortar Stores  ,Pexelio Publishing,1,5.0 out of 5 stars,"Dec 23, 2021",5.
"Online Order & Shopping Tracker: Cute logbook to record purchases, deliveries and returns. Designed for busy individuals, home-based or small business website shopping. Fun sunflower pattern cover..  ",Peter Pauper Press,"19,817",4.3 out of 5 stars,"Mar 30, 2020",16.
Online Shopping Tracker  ,Mark J. Plotkin,240,4.5 out of 5 stars,"Mar 30, 2020",0.
"The Silent Wife: A gripping, emotional page-turner with a twist that will take your breath away  ",Anita Lee,"11,702",4.4 out of 5 stars,"Dec 26, 2019",8.
"Password Book: Internet Address And Password Organizer, Password Notebook Journal - 5x8 Inch, Password Keeper Logbook With Elegant Cover  ",Roberta M Shaw,"16,374",4.2 out of 5 stars,"Dec 26, 2019",6.
Lined Notebook: Enchanting Collection Visit Shopping Arrakis Office Vintage Cocktail Distressed Guide Surf Monthly Daily Sci Week Fi Picture 110 Pages The Perfect Book  ,Kerry Fisher,"4,378",4.3 out of 5 stars,"Aug 31, 2022",11.
"Password Book: Shiti Cant Remember Password Book with Alphabetical Tabs.Password Organizer for Usernames, Logins, Web, And Email Addresses.Password ... Personal Login Information Private And Secure  ",Pexelio Publishing,"6,070",4.3 out of 5 stars,"Aug 31, 2022",7.
Online Shopping Tracker & Password Book for your Shopping Websites: Keep Track of your Online Purchases or Shopping Orders made Through an Online Website - Password Tracker  ,Peter Pauper Press,"3,227",4.3 out of 5 stars,"Nov 26, 2018",5.
"I'm Dead, Now What?: Important Information About My Belongings, Business Affairs, and Wishes  ",Mark J. Plotkin,26,4.6 out of 5 stars,"Nov 26, 2018",5.
"Online Shopping Tracker: Tracking Organizer Notebook For Online, purchase order book, book organizer, online shopping, Online Order Organizer Notebook.  ",Anita Lee,"10,452",4.6 out of 5 stars,"Nov 26, 2019",5.
The Amazon: What Everyone Needs to Know®  ,Roberta M Shaw,74,4.7 out of 5 stars,"Nov 26, 2019",6.
Online Shopping Tracker: Keep Tracking Organizer Notebook for online purchases or shopping orders made through an online website (Vol : 2) (Order log)  ,Kerry Fisher,11,4.4 out of 5 stars,"Nov 23, 2020",7.
Online shopping tracker journal: Online shopping tracker journal and notebook  ,Pexelio Publishing,29,4.2 out of 5 stars,"Nov 23, 2020",8.
Internet Password Book Organizer And Online Shopping Tracker: Two-In-One  ,Peter Pauper Press,1,4.0 out of 5 stars,"May 1, 2022",3.
